graph_slot,graph_time,window_start,window_end_exclusive,window_steps,missing_cells,valid_for_pcmci,assigned_graph_slot
0,2023-01-08 00:00:00,2023-01-01 00:00:00,2023-01-08 00:00:00,2016,0,1,0
1,2023-01-09 00:00:00,2023-01-02 00:00:00,2023-01-09 00:00:00,2016,0,1,1
2,2023-01-10 00:00:00,2023-01-03 00:00:00,2023-01-10 00:00:00,2016,0,1,2
3,2023-01-11 00:00:00,2023-01-04 00:00:00,2023-01-11 00:00:00,2016,0,1,3
4,2023-01-12 00:00:00,2023-01-05 00:00:00,2023-01-12 00:00:00,2016,0,1,4
5,2023-01-13 00:00:00,2023-01-06 00:00:00,2023-01-13 00:00:00,2016,0,1,5
6,2023-01-14 00:00:00,2023-01-07 00:00:00,2023-01-14 00:00:00,2016,0,1,6
7,2023-01-15 00:00:00,2023-01-08 00:00:00,2023-01-15 00:00:00,2016,0,1,7
8,2023-01-16 00:00:00,2023-01-09 00:00:00,2023-01-16 00:00:00,2016,0,1,8
9,2023-01-17 00:00:00,2023-01-10 00:00:00,2023-01-17 00:00:00,2016,0,1,9
10,2023-01-18 00:00:00,2023-01-11 00:00:00,2023-01-18 00:00:00,2016,0,1,10
11,2023-01-19 00:00:00,2023-01-12 00:00:00,2023-01-19 00:00:00,2016,0,1,11
12,2023-01-20 00:00:00,2023-01-13 00:00:00,2023-01-20 00:00:00,2016,0,1,12
13,2023-01-21 00:00:00,2023-01-14 00:00:00,2023-01-21 00:00:00,2016,0,1,13
14,2023-01-22 00:00:00,2023-01-15 00:00:00,2023-01-22 00:00:00,2016,0,1,14
15,2023-01-23 00:00:00,2023-01-16 00:00:00,2023-01-23 00:00:00,2016,0,1,15
16,2023-01-24 00:00:00,2023-01-17 00:00:00,2023-01-24 00:00:00,2016,0,1,16
17,2023-01-25 00:00:00,2023-01-18 00:00:00,2023-01-25 00:00:00,2016,0,1,17
18,2023-01-26 00:00:00,2023-01-19 00:00:00,2023-01-26 00:00:00,2016,0,1,18
19,2023-01-27 00:00:00,2023-01-20 00:00:00,2023-01-27 00:00:00,2016,0,1,19
20,2023-01-28 00:00:00,2023-01-21 00:00:00,2023-01-28 00:00:00,2016,0,1,20
21,2023-01-29 00:00:00,2023-01-22 00:00:00,2023-01-29 00:00:00,2016,0,1,21
22,2023-01-30 00:00:00,2023-01-23 00:00:00,2023-01-30 00:00:00,2016,0,1,22
23,2023-01-31 00:00:00,2023-01-24 00:00:00,2023-01-31 00:00:00,2016,0,1,23
24,2023-02-01 00:00:00,2023-01-25 00:00:00,2023-02-01 00:00:00,2016,0,1,24
