node_index,node_id,feature,start,end,steps,minutes,short_gap_filled
0,400593,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
0,400593,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
0,400593,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
0,400593,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
0,400593,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
0,400593,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
1,400125,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
1,400125,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
1,400125,flow,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
1,400125,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
1,400125,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
1,400125,occupancy,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
1,400125,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
1,400125,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
1,400125,speed,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
2,400331,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
2,400331,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
2,400331,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
2,400331,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
2,400331,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
2,400331,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
3,400039,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
3,400039,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
3,400039,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
3,400039,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
3,400039,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
3,400039,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
4,400316,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
4,400316,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
4,400316,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
4,400316,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
4,400316,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
4,400316,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
5,400503,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
5,400503,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
5,400503,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
5,400503,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
5,400503,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
5,400503,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
6,405843,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
6,405843,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
6,405843,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
6,405843,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
6,405843,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
6,405843,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
7,408093,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
7,408093,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
7,408093,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
7,408093,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
7,408093,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
7,408093,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
8,401448,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
8,401448,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
8,401448,flow,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
8,401448,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
8,401448,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
8,401448,occupancy,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
8,401448,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
8,401448,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
8,401448,speed,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
9,402391,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
9,402391,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
9,402391,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
9,402391,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
9,402391,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
9,402391,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
10,400497,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
10,400497,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
10,400497,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
10,400497,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
10,400497,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
10,400497,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
11,405841,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
11,405841,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
11,405841,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
11,405841,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
11,405841,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
