node_index,station_id,fwy,direction,abs_pm,lat,lng,fwy_name,district,county,city,name,type,sensor_type,hov,design_speed_limit_mph,length,road_width,lane_width,inner_shoulder_width,outer_shoulder_width,design_speed_limit,inner_median_type,inner_median_width,terrain,population,barrier,surface,roadway_use,road_width_ft,lane_width_ft,inner_shoulder_width_ft,outer_shoulder_width_ft,inner_median_width_ft,missing_rate_selection_month
6929,400593,101,N,421.637,37.618189,-122.398826,US101-N,4,San Mateo,,3200' S of San Bruno ave OC,Mainline,loops,No,70.0,0.165,72 ft,12.0 ft,8 ft,8 ft,70 mph,Paved - No Roadway Use,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,"Base & Surface >= 7"" Thick",Auxiliary Lane (Inc in No Lanes Fields),72.0,12.0,8.0,8.0,36.0,0.0
5009,400125,101,N,421.677,37.61875,-122.399021,US101-N,4,San Mateo,,oppo 1200' N of SFIA,Mainline,loops,No,70.0,0.09,72 ft,12.0 ft,8 ft,8 ft,70 mph,Paved - No Roadway Use,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,"Base & Surface >= 7"" Thick",Auxiliary Lane (Inc in No Lanes Fields),72.0,12.0,8.0,8.0,36.0,0.0
11907,400331,101,N,421.817,37.62072,-122.399676,US101-N,4,San Mateo,,oppo SFIA off-s-diag,Mainline,loops,No,70.0,0.39,72 ft,12.0 ft,8 ft,8 ft,70 mph,Paved - No Roadway Use,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,"Base & Surface >= 7"" Thick",Auxiliary Lane (Inc in No Lanes Fields),72.0,12.0,8.0,8.0,36.0,0.0
8384,400039,101,N,422.967,37.637025,-122.404035,US101-N,4,San Mateo,,SFIA/San Bruno Ave,Mainline,loops,No,70.0,0.195,48 ft,12.0 ft,14 ft,10 ft,70 mph,Paved - No Roadway Use,30 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",No Special Features,48.0,12.0,14.0,10.0,30.0,0.0
15591,400316,101,N,423.147,37.639474,-122.405195,US101-N,4,San Mateo,South San Francisco,EB 380/S Airport Blvd,Mainline,loops,No,70.0,0.35,48 ft,12.0 ft,14 ft,10 ft,70 mph,Paved - No Roadway Use,30 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",No Special Features,48.0,12.0,14.0,10.0,30.0,0.0
16813,400503,101,N,423.667,37.646963,-122.406317,US101-N,4,San Mateo,South San Francisco,S. Airport Blvd rm-n-hook,Mainline,loops,No,70.0,0.4,60 ft,12.0 ft,10 ft,8 ft,70 mph,Paved - No Roadway Use,18 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,"Base & Surface >= 7"" Thick",No Special Features,60.0,12.0,10.0,8.0,18.0,0.0
3637,405843,101,N,424.297,37.656031,-122.406484,US101-N,4,San Mateo,South San Francisco,Grand Ave rm-n-fly,Mainline,loops,No,70.0,0.4,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,2 ft,Flat,Urbanized,Concrete Barrier,Concrete,,48.0,12.0,4.0,8.0,2.0,0.0
4902,408093,101,N,424.747,37.661537,-122.402393,US101-N,4,San Mateo,South San Francisco,Oyster Point Blvd rm-s-fly,Mainline,loops,No,70.0,0.295,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,2 ft,Flat,Urbanized,Metal Beam Barrier,Concrete,,48.0,12.0,4.0,8.0,2.0,0.0
5823,401448,101,N,425.107,37.664884,-122.397377,US101-N,4,San Mateo,South San Francisco,Oyster Point Blvd rm-n,Mainline,loops,No,70.0,0.2,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete,,48.0,12.0,4.0,8.0,12.0,0.0
826,402391,101,N,425.287,37.666938,-122.395366,US101-N,4,San Mateo,South San Francisco,4A5324 loc 87,Mainline,magnetometers,No,70.0,0.305,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete,,48.0,12.0,4.0,8.0,12.0,0.0
12247,400497,101,N,425.717,37.672002,-122.390835,US101-N,4,San Mateo,South San Francisco,Sierra Pt Prkwy off-n-diag,Mainline,loops,No,70.0,0.39,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,8.0,12.0,0.0
5950,405841,101,N,426.067,37.67668,-122.388491,US101-N,4,San Mateo,Brisbane,S Sierra Point Prkwy rm-n-diag,Mainline,loops,No,70.0,0.62,48 ft,12.0 ft,4 ft,4 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,4.0,12.0,0.0
5021,404520,101,N,426.957,37.689373,-122.390539,US101-N,4,San Mateo,Brisbane,S of Sierra Point Pkwy/Lagoon,Mainline,loops,No,70.0,0.465,48 ft,12.0 ft,4 ft,4 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,4.0,12.0,0.0
3966,400183,101,N,426.997,37.689942,-122.390669,US101-N,4,San Mateo,Brisbane,2400' N of Sierra Point Prkwy,Mainline,loops,No,70.0,0.065,48 ft,12.0 ft,4 ft,4 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,4.0,12.0,0.0
8997,401469,101,N,427.087,37.691221,-122.39097,US101-N,4,San Mateo,Brisbane,Sierra Point Parkway rm-s-diag,Mainline,loops,No,70.0,0.37,48 ft,12.0 ft,4 ft,4 ft,70 mph,Paved - No Roadway Use,12 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,4.0,12.0,0.0
7915,401472,101,N,427.737,37.700468,-122.393067,US101-N,4,San Mateo,Brisbane,Sierra Pt Parkway & Lagoon Wy,Mainline,loops,No,70.0,0.44,60 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,36 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,60.0,12.0,4.0,8.0,36.0,0.0
4234,405838,101,N,427.967,37.703738,-122.393821,US101-N,4,San Mateo,Brisbane,Harney Way rm-n-loop,Mainline,loops,No,70.0,0.215,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,36 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,8.0,36.0,0.0
15686,400260,101,N,428.167,37.706585,-122.394455,US101-N,4,San Mateo,Brisbane,oppo Harney Way  rm-s-diag,Mainline,loops,No,70.0,0.333,48 ft,12.0 ft,4 ft,8 ft,70 mph,Paved - No Roadway Use,25 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick",,48.0,12.0,4.0,8.0,25.0,0.0
14472,404528,101,N,428.464,37.710864,-122.395412,US101-N,4,San Francisco,San Francisco,Blanken Ave,Mainline,loops,No,70.0,0.304,48 ft,12.0 ft,12 ft,8 ft,70 mph,Paved - No Roadway Use,25 ft,Rolling,Urbanized,Concrete Barrier,Bridge Deck,No Special Features,48.0,12.0,12.0,8.0,25.0,0.0
12791,401795,101,N,428.944,37.717176,-122.398947,US101-N,4,San Francisco,San Francisco,3rd St off-n-diag,Mainline,loops,No,70.0,0.465,60 ft,12.0 ft,5 ft,10 ft,70 mph,Paved - No Roadway Use,12 ft,Rolling,Urbanized,Concrete Barrier,Concrete,No Special Features,60.0,12.0,5.0,10.0,12.0,0.0
