variable_index,node_index,node_id,feature_index,feature
0,0,400593,0,flow
1,0,400593,1,occupancy
2,0,400593,2,speed
3,1,400125,0,flow
4,1,400125,1,occupancy
5,1,400125,2,speed
6,2,400331,0,flow
7,2,400331,1,occupancy
8,2,400331,2,speed
9,3,400039,0,flow
10,3,400039,1,occupancy
11,3,400039,2,speed
12,4,400316,0,flow
13,4,400316,1,occupancy
14,4,400316,2,speed
15,5,400503,0,flow
16,5,400503,1,occupancy
17,5,400503,2,speed
18,6,405843,0,flow
19,6,405843,1,occupancy
20,6,405843,2,speed
21,7,408093,0,flow
22,7,408093,1,occupancy
23,7,408093,2,speed
24,8,401448,0,flow
25,8,401448,1,occupancy
26,8,401448,2,speed
27,9,402391,0,flow
28,9,402391,1,occupancy
29,9,402391,2,speed
30,10,400497,0,flow
31,10,400497,1,occupancy
32,10,400497,2,speed
33,11,405841,0,flow
34,11,405841,1,occupancy
35,11,405841,2,speed
36,12,404520,0,flow
37,12,404520,1,occupancy
38,12,404520,2,speed
39,13,400183,0,flow
40,13,400183,1,occupancy
41,13,400183,2,speed
42,14,401469,0,flow
43,14,401469,1,occupancy
44,14,401469,2,speed
45,15,401472,0,flow
46,15,401472,1,occupancy
47,15,401472,2,speed
48,16,405838,0,flow
49,16,405838,1,occupancy
50,16,405838,2,speed
51,17,400260,0,flow
52,17,400260,1,occupancy
53,17,400260,2,speed
54,18,404528,0,flow
55,18,404528,1,occupancy
56,18,404528,2,speed
57,19,401795,0,flow
58,19,401795,1,occupancy
59,19,401795,2,speed
