previous_graph_slot,current_graph_slot,slot_gap,previous_edges,current_edges,intersection_edges,union_edges,added_edges,removed_edges,edge_jaccard,weighted_cosine,relative_frobenius_change
0,1,1,100,100,74,126,26,26,0.5873015873015873,0.8910752101343565,0.4818852861659248
1,2,1,100,100,70,130,30,30,0.5384615384615384,0.8687214270484652,0.5041965819790466
2,3,1,100,100,74,126,26,26,0.5873015873015873,0.8890480198099632,0.46551889860636614
3,4,1,100,100,70,130,30,30,0.5384615384615384,0.8763392333662308,0.5037552195911299
4,5,1,100,100,71,129,29,29,0.5503875968992248,0.8560966798875026,0.5211361477315766
5,6,1,100,100,64,136,36,36,0.47058823529411764,0.8196922974911055,0.620372574758321
6,7,1,100,100,81,119,19,19,0.680672268907563,0.9242859093232197,0.3873572550638134
7,8,1,100,100,70,130,30,30,0.5384615384615384,0.8697686457977617,0.5114731797651467
8,9,1,100,100,74,126,26,26,0.5873015873015873,0.870385091805676,0.5417729411082044
9,10,1,100,100,74,126,26,26,0.5873015873015873,0.8832433818538709,0.4717899066544774
10,11,1,100,100,76,124,24,24,0.6129032258064516,0.9016890482371531,0.4480389088391953
11,12,1,100,100,73,127,27,27,0.5748031496062992,0.8894955155763264,0.4755963564316262
12,13,1,100,100,75,125,25,25,0.6,0.8850680617974356,0.4705036164414674
13,14,1,100,100,62,138,38,38,0.4492753623188406,0.8233715626100963,0.5933876930713352
14,15,1,100,100,75,125,25,25,0.6,0.9012884963206268,0.4476583146615283
15,16,1,100,100,66,134,34,34,0.4925373134328358,0.8673339213063738,0.5181170159447929
16,17,1,100,100,70,130,30,30,0.5384615384615384,0.8437176938725564,0.5992147965583365
17,18,1,100,100,79,121,21,21,0.6528925619834711,0.9002555650641484,0.4395509852927248
18,19,1,100,100,68,132,32,32,0.5151515151515151,0.8586658133443492,0.5313100056520494
19,20,1,100,100,73,127,27,27,0.5748031496062992,0.8970802835653408,0.46058007843849275
20,21,1,100,100,81,119,19,19,0.680672268907563,0.9097798522256975,0.4276427327075911
21,22,1,100,100,75,125,25,25,0.6,0.8827477196497144,0.483376743066416
22,23,1,100,100,76,124,24,24,0.6129032258064516,0.9041546705097993,0.439505871795544
23,24,1,100,100,75,125,25,25,0.6,0.8702103975524904,0.5798486810530153
24,25,1,100,100,77,123,23,23,0.6260162601626016,0.9000736451727875,0.4403475478430298
25,26,1,100,100,77,123,23,23,0.6260162601626016,0.9108835140926821,0.4273901220241915
26,27,1,100,100,79,121,21,21,0.6528925619834711,0.9233105779602907,0.3894721480876035
27,28,1,100,100,76,124,24,24,0.6129032258064516,0.8576524611548529,0.5186813185491725
28,29,1,100,100,77,123,23,23,0.6260162601626016,0.8889268594597677,0.4649887761829011
29,30,1,100,100,74,126,26,26,0.5873015873015873,0.9024744120123604,0.43368951147571755
30,31,1,100,100,77,123,23,23,0.6260162601626016,0.9084530730200362,0.4292982147495904
31,32,1,100,100,86,114,14,14,0.7543859649122807,0.9514180394503223,0.31158708678902974
32,33,1,100,100,84,116,16,16,0.7241379310344828,0.9360440712570118,0.35896831153691117
33,34,1,100,100,84,116,16,16,0.7241379310344828,0.9355530486209959,0.3574415572534206
34,35,1,100,100,82,118,18,18,0.6949152542372882,0.93909589974994,0.3512855485620054
35,36,1,100,100,74,126,26,26,0.5873015873015873,0.9005370920562327,0.44326529894323297
36,37,1,100,100,78,122,22,22,0.639344262295082,0.9187351024744662,0.4114741044055758
37,38,1,100,100,72,128,28,28,0.5625,0.8999458267993968,0.4433639676946408
38,39,1,100,100,89,111,11,11,0.8018018018018018,0.9582994959562079,0.2865725366663498
39,40,1,100,100,80,120,20,20,0.6666666666666666,0.915881613989582,0.406402990783639
40,41,1,100,100,75,125,25,25,0.6,0.9167734064876795,0.41014230267760554
41,42,1,100,100,74,126,26,26,0.5873015873015873,0.9081425779415682,0.4295013797243767
42,43,1,100,100,82,118,18,18,0.6949152542372882,0.9344908298339425,0.3679528715356937
43,44,1,100,100,75,125,25,25,0.6,0.902671165342547,0.44077503859488987
44,45,1,100,100,81,119,19,19,0.680672268907563,0.9330966103206721,0.36412466128987425
45,46,1,100,100,77,123,23,23,0.6260162601626016,0.9046608075309489,0.4515545833798688
46,47,1,100,100,80,120,20,20,0.6666666666666666,0.9166721669688433,0.4078325040294175
47,48,1,100,100,78,122,22,22,0.639344262295082,0.9032830475020922,0.440221808251348
48,49,1,100,100,76,124,24,24,0.6129032258064516,0.8994640077834786,0.44643009251639515
49,50,1,100,100,82,118,18,18,0.6949152542372882,0.9290697870627098,0.376009915632882
50,51,1,100,100,79,121,21,21,0.6528925619834711,0.9268110272637479,0.3797904473274076
51,52,1,100,100,76,124,24,24,0.6129032258064516,0.9139630132803243,0.4078861762607409
52,53,1,100,100,69,131,31,31,0.5267175572519084,0.8850353144314742,0.506444837791654
53,54,1,100,100,76,124,24,24,0.6129032258064516,0.9222151396367035,0.3949875107978426
54,55,1,100,100,76,124,24,24,0.6129032258064516,0.9008966719335945,0.4547286531166198
55,56,1,100,100,74,126,26,26,0.5873015873015873,0.8664708672575021,0.506985601090584
56,57,1,100,100,82,118,18,18,0.6949152542372882,0.9355662184340725,0.3559120808010382
57,58,1,100,100,79,121,21,21,0.6528925619834711,0.8958988772533925,0.4712339577789078
58,59,1,100,100,84,116,16,16,0.7241379310344828,0.9310722836775551,0.37332077173791123
59,60,1,100,100,79,121,21,21,0.6528925619834711,0.9302605901386801,0.37448375019219104
60,61,1,100,100,81,119,19,19,0.680672268907563,0.9146158194238072,0.4043819382315983
61,62,1,100,100,79,121,21,21,0.6528925619834711,0.9185579317806835,0.41355066845879984
62,63,1,100,100,82,118,18,18,0.6949152542372882,0.9284635387301211,0.3815003850465511
63,64,1,100,100,75,125,25,25,0.6,0.8932961424998671,0.47539698628127663
64,65,1,100,100,77,123,23,23,0.6260162601626016,0.8875982658813064,0.4652480446143081
65,66,1,100,100,81,119,19,19,0.680672268907563,0.8847159102408106,0.4850480029356635
